09012023	09:54:29	7a91ba85-b564-4c67-a92f-a971c1c4e602	POST	undefined	/login
09012023	09:54:47	4546220b-d265-41e3-a804-d743c8ba5409	POST	undefined	/refresh
09012023	09:55:45	cd3654af-a468-4872-a1ec-13f3439482bf	POST	undefined	/refresh
09012023	09:56:01	f41aa251-87f8-4b62-873a-c14e92706972	POST	undefined	/refresh
09012023	09:56:14	568b2fc8-7352-4270-b3d3-ff55b5123fa2	POST	undefined	/login
09012023	09:59:28	db6e0e4d-2277-4824-9d75-3a424b3c116e	POST	undefined	/refresh
09012023	09:59:31	6d4c377e-5322-44dc-a90b-3cddcaf81d23	POST	undefined	/login
09012023	09:59:42	4c569df5-9fd0-4670-ac2f-e798df681557	POST	undefined	/refres
09012023	09:59:45	759055f3-bb20-41cc-8167-fe5c71f7d7b7	POST	undefined	/refresh
09012023	10:00:07	440d0be6-5e06-4daa-af7c-5e47e54b12a3	POST	undefined	/refresh
09012023	10:22:20	02d80722-e26c-48e6-af6c-28460d3190e8	POST	undefined	/register
09012023	10:23:11	117a3f63-9bfc-4165-bd06-8c594963e1dd	POST	undefined	/register
09012023	10:49:00	6f916c67-9813-4a29-9c9a-2112fac3aa05	POST	undefined	/login
09012023	10:49:25	d8418168-1ff4-4bf3-a97a-cb1dae24c0bb	GET	undefined	/employees
09012023	10:51:42	fc50dc7b-6fbc-4ed2-8409-45f79c2bd771	POST	undefined	/login
09012023	10:51:54	409661ea-df7a-4d6a-83b2-07a87dd188b8	GET	undefined	/employees
09012023	10:52:17	23627448-6318-4aa6-808a-1a415dd1a192	POST	undefined	/employees
09012023	10:53:02	9084d8d4-48bc-4956-93aa-78a7f760bd5c	POST	undefined	/employees
09012023	10:53:06	7600097c-547e-4b3b-b670-8f9498dbef09	POST	undefined	/login
09012023	10:53:16	c6aadd3b-f60f-4b07-b056-8bf2c2172fd8	POST	undefined	/employees
09012023	10:54:34	720bd66a-1906-4aaf-be05-39edbad092d0	POST	undefined	/login
09012023	10:54:43	70b8d0ba-55f1-4a49-a981-884ce1470f25	POST	undefined	/employees
